vehicle_id,plate,journey_size,total_distance,total_moving,total_idle,counts,day
5603,AAA0003,108,96.486,5894,333,1,2021-10-11 11:05:55.105787
5603,AAA0003,143,67.739,4989,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,92,80.835,4955,120,1,2021-10-11 11:05:55.105787
175,AAA0002,67,58.038,4218,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,107,102.502,7992,238,2,2021-10-11 11:05:55.105787
5596,AAA0004,119,140.291,7759,0,1,2021-10-11 11:05:55.105787
175,AAA0002,65,24.265,3472,120,1,2021-10-11 11:05:55.105787
5603,AAA0003,113,91.356,6698,454,2,2021-10-11 11:05:55.105787
5603,AAA0003,98,51.436,3966,531,1,2021-10-11 11:05:55.105787
175,AAA0002,80,50.013,5180,0,1,2021-10-11 11:05:55.105787
167,AAA0001,75,22.466,4170,0,1,2021-10-11 11:05:55.105787
167,AAA0001,56,21.286,2970,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,135,49.756,3370,211,1,2021-10-11 11:05:55.105787
167,AAA0001,69,45.356,3253,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,73,101.245,10446,1,3,2021-10-11 11:05:55.105787
5603,AAA0003,181,69.962,6556,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,90,66.72800000000001,6365,301,2,2021-10-11 11:05:55.105787
164573,AAA0008,141,40.161,6290,120,1,2021-10-11 11:05:55.105787
150653,AAA0007,91,129.44,6243,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,104,83.586,5715,307,1,2021-10-11 11:05:55.105787
7672,AAA0005,16,2.367,500,240,1,2021-10-11 11:05:55.105787
150653,AAA0007,148,146.534,7922,223,1,2021-10-11 11:05:55.105787
7672,AAA0005,43,7.599,1389,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,81,21.429000000000002,6746,661,3,2021-10-11 11:05:55.105787
164573,AAA0008,115,34.433,4457,120,1,2021-10-11 11:05:55.105787
72880,AAA0006,46,8.904,2698,624,2,2021-10-11 11:05:55.105787
164573,AAA0008,111,24.923,4816,120,1,2021-10-11 11:05:55.105787
150653,AAA0007,240,169.071,8800,0,1,2021-10-11 11:05:55.105787
150653,AAA0007,170,74.953,4823,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,103,9.619,3066,360,1,2021-10-11 11:05:55.105787
164573,AAA0008,210,52.557,8540,241,1,2021-10-11 11:05:55.105787
164573,AAA0008,103,19.173,3663,301,1,2021-10-11 11:05:55.105787
207756,AAA0010,9,32.797,12506,18724,85,2021-10-11 11:05:55.105787
207756,AAA0010,106,2777.856,144192,0,32,2021-10-11 11:05:55.105787
